,title,author,publisher,isbn13,pubDate,categoryId,categoryName,description,cover
270,"물고기는 존재하지 않는다 - 상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기","룰루 밀러 (지은이), 정지인 (옮긴이)",곰출판,9791189327156,2021-12-17,51002,국내도서>과학>기초과학/교양과학,집착에 가까울 만큼 자연계에 질서를 부여하려 했던 19세기 어느 과학자의 삶을 흥미롭게 좇아가는 이 책은 어느 순간 독자들을 혼돈의 한복판으로 데려가서 우리가 믿고 있던 삶의 질서에 관해 한 가지 의문을 제기한다. “물고기가 존재하지 않는다는 것은 엄연한 하나의 사실이다.,https://image.aladin.co.kr/product/28465/73/coversum/k092835920_2.jpg
271,방과 후 소년 하나코 군,"아이다이로 (지은이), 장혜영 (옮긴이)",서울미디어코믹스(서울문화사),9791136737632,2022-07-28,4134,국내도서>만화>본격장르만화>판타지>드라마틱 판타지,"학원 7대 불가사의 괴이담, 「지박소년 하나코 군」 공식 스핀오프. 카모메 학원의 7대 불가사의 ""화장실의 하나코 군""과 오컬트 소녀 야시로 네네. 사건이 일어나지 않는 오프인 날에는  뭘 하고 있을까?",https://image.aladin.co.kr/product/29744/86/coversum/k262838692_1.jpg
272,"김용균, 김용균들 - 싸울 때 제대로 살아갈 수 있는 사람들","권미정, 림보, 희음 (지은이), 사단법인 김용균재단 (기획)",오월의봄,9791168730267,2022-07-15,51078,국내도서>사회과학>사회문제>노동문제,"그의 이름은 고유명사이나, 비정규직 청년 노동자, 위험의 외주화, 산재 사고 피해자를 지시하는 대명사가 되었다. 김용균재단이 기획해 선보이는 첫 단행본인 《김용균, 김용균들》은 다시 이 김용균이라는 이름에서 시작한다.",https://image.aladin.co.kr/product/29604/93/coversum/k192838205_2.jpg
273,이상한 과자 가게 전천당 15,"히로시마 레이코 (지은이), 쟈쟈 (그림), 김정화 (옮긴이)",길벗스쿨,9791164064410,2022-07-11,48877,국내도서>어린이>동화/명작/고전>외국창작동화,"잠시 가게를 닫고 길거리로 나선 베니코는 어김없이 행운의 손님들을 만나 과자를 판다. 그런데 잠깐, 베니코가 여러 명이다. 만족도 조사를 마친 로쿠조 연구소가 본격적인 행동에 나선 것이다. 로쿠조 연구소는 전천당과 베니코를 사칭해 가짜 과자를 팔기 시작하는데….",https://image.aladin.co.kr/product/29734/44/coversum/k662838597_1.jpg
274,불우한 삶 1~4 북케이스 세트 - 전4권 - '통속소설 '사랑의 망명자들' 표지노트 + 일러스트 카드 4종 + 북케이스,백나라 (지은이),영컴(YOUNG COM),9791167791306,2022-07-29,181723,국내도서>소설/시/희곡>로맨스소설>국내 BL,"모친으로 인해 유배되듯 기숙학교로 보내진 레이몬드. 그곳은 누군가의 사생아, 골칫덩이 자식 등 가문에서 눈엣가시들이 모인 외딴 시골 학교로, 레이몬드는 네 명의 룸메이트와 함께 지내게 된다. 평화롭고 순탄하기만 했던 학교생활은 어느 날을 기점으로 흔들리기 시작하는데….",https://image.aladin.co.kr/product/29758/27/coversum/k722838202_2.jpg
275,역행자 - 돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,자청 (지은이),웅진지식하우스,9788901260716,2022-06-03,70216,국내도서>자기계발>성공>성공학,"어느 날 혜성처럼 나타나 자수성가의 아이콘이 된 청년, 자기계발 유튜버 자청이 깨달은 인생의 치트키를 탈탈 털어 넣은 그의 첫 책 《역행자》가 드디어 출간된다. 수많은 ‘자청 챌린저’들이 기다려온 책이자, 독자들의 인생을 송두리째 바꿔줄 문제작이다.",https://image.aladin.co.kr/product/29521/63/coversum/s572830936_1.jpg
276,최애의 아이 7,"아카사카 아카 (지은이), 요코야리 멘고 (그림)",대원씨아이(만화),9791169184151,2022-07-27,3742,국내도서>만화>순정만화>레이디스 코믹,유년기의 인연을 시작으로 대립하는 과거의 천재 아역 아리마 카나와 현 '극단 라라라이' 에이스 쿠로카와 아카네는 무대 위에서 저마다 자신의 연기를 부딪친다! 그리고 '감정연기'를 위해서 자신의 트라우마와 마주한 호시노 아쿠아가 다다른 배우로서의 삶이란?!,https://image.aladin.co.kr/product/29767/73/coversum/k952838403_1.jpg
277,"유럽 도시 기행 2 - 빈, 부다페스트, 프라하, 드레스덴 편",유시민 (지은이),생각의길,9788965137702,2022-07-09,51378,국내도서>인문학>교양 인문학,"시대의 격랑을 이겨내고 저마다의 방식으로 자신의 존재감을 빛내는 네 도시, 빈, 부다페스트, 프라하, 드레스덴의 이야기를 담았다.",https://image.aladin.co.kr/product/29689/64/coversum/8965137705_1.jpg
278,나 혼자만 레벨업 6 - 만화,"장성락(REDICE STUDIO) (지은이), 추공 (원작)",디앤씨웹툰비즈,9791167770370,2022-07-25,4134,국내도서>만화>본격장르만화>판타지>드라마틱 판타지,"성진우는 투항한 악마 귀족 에실을 악마성 던전의 길 안내자로 삼아, 층간 공략 속도에 박차를 가한다. 마침내 100층에서 대적하게 된 악마왕 바란과의 전투 결과는―?! 한편, 헌터협회에서도 새로운 움직임이 시작되는데….",https://image.aladin.co.kr/product/29744/72/coversum/k412838691_1.jpg
279,나 혼자만 레벨업 6 (아크릴 스탠드 + 마스크 홀더 + 빅스티커 3종 + 홀로그램 북마크 2종 + 초판 한정 카드 4종 포함 한정판) - 만화,"장성락(REDICE STUDIO) (지은이), 추공 (원작)",디앤씨웹툰비즈,9791167770394,2022-07-25,4134,국내도서>만화>본격장르만화>판타지>드라마틱 판타지,"성진우는 투항한 악마 귀족 에실을 악마성 던전의 길 안내자로 삼아, 층간 공략 속도에 박차를 가한다. 마침내 100층에서 대적하게 된 악마왕 바란과의 전투 결과는―?! 한편, 헌터협회에서도 새로운 움직임이 시작되는데….",https://image.aladin.co.kr/product/29744/72/coversum/k462838691_1.jpg
280,작별인사,김영하 (지은이),복복서가,9791191114225,2022-05-02,50993,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,"김영하가 『살인자의 기억법』 이후 9 년 만에 내놓는 장편소설 『작별인사』는 그리 멀지 않은 미래를 배경으로, 별안간 삶이 송두리째 뒤흔들린 한 소년의 여정을 좇는다. 유명한 IT 기업의 연구원인 아버지와 쾌적하고 평화롭게 살아가던 철이는 어느날 갑자기 수용소로 끌려가 난생처음 날것의 감정으로 가득한 혼돈의 세계에 맞닥뜨리게 되면서 정신적, 신체적 위기에 직면한다.",https://image.aladin.co.kr/product/29281/68/coversum/k122837904_1.jpg
281,파친코 1 - 개정판,"이민진 (지은이), 신승미 (옮긴이)",인플루엔셜(주),9791168340510,2022-07-27,50919,국내도서>소설/시/희곡>영미소설,"4대에 걸친 재일조선인 가족의 이야기를 그린 세계적 베스트셀러, 이민진 작가의 장편소설 《파친코》가 인플루엔셜에서 새로운 번역으로 출간되어 한국 독자들과 만난다. 《파친코》는 재미교포 1.5세인 이민진 작가가 30년에 달하는 긴 세월에 걸쳐 집필한 대하소설이다.
",https://image.aladin.co.kr/product/29496/39/coversum/k202838509_3.jpg
282,마법천자문 53 - 결정을 내려라! 결단할 결(決),"유대영 (지은이), 홍거북 (그림), 김창환 (감수)",아울북,9788950903138,2022-07-12,48941,국내도서>어린이>어린이 한자>학습만화,손오공의 모험 이야기를 따라가면서 쓰기보다 뜻과 소리를 먼저 읽고 그림으로 한자를 보면서 학습할 수 있도록 한 한자학습만화다. 마법의 주문으로 음과 훈을 읽기 때문에 재미있게 한자를 배울 수 있다.,https://image.aladin.co.kr/product/29781/62/coversum/895090313x_2.jpg
283,"알싸한 기린의 세계 - 스물하나, 여자 아닌 사람이 되었다! 오 마이 갓. 이거 살맛 나잖아?",작가1 (지은이),든,9791197461460,2022-07-18,51371,국내도서>에세이>한국에세이,"작가1은 2016년 강남역 살인사건 이후 탈코르셋을 실천하며 여자라는 속박을 집어 던졌다. 단번에 페미니스트의 길로 들어선 것은 아니다. 처음에는 페미니스트를 과격하다고 생각해 무서워했고, 여자라는 이유로 차별과 혐오를 당하며 무력감을 느끼기도 했다.",https://image.aladin.co.kr/product/29568/39/coversum/k382837451_2.jpg
284,"유럽 도시 기행 2 - 빈, 부다페스트, 프라하, 드레스덴 편",유시민 (지은이),생각의길,9788965137702,2022-07-09,51378,국내도서>인문학>교양 인문학,"시대의 격랑을 이겨내고 저마다의 방식으로 자신의 존재감을 빛내는 네 도시, 빈, 부다페스트, 프라하, 드레스덴의 이야기를 담았다.",https://image.aladin.co.kr/product/29689/64/coversum/8965137705_1.jpg
285,비비드 패션 연구실 - 일러스트랩 스티커북,도미(송닷옴) (지은이),은행나무,9791167371423,2022-07-15,147647,국내도서>건강/취미>스티커북,"문구 전문숍 ‘연도팩토리’의 인기 일러스트레이터 도미, 밀키하트, 아쿠의 대표 일러스트 스티커 44장을 엮은 스티커북 《일러스트랩 시리즈》 3종이 출간되었다. 작가의 깜찍하고 은밀한 작품 세계를 엿볼 수 있고, 컬러 스티커를 한번에 소장할 수 있는 절호의 기회다.",https://image.aladin.co.kr/product/29782/19/coversum/k462838500_2.jpg
286,역행자 - 돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,자청 (지은이),웅진지식하우스,9788901260716,2022-06-03,70216,국내도서>자기계발>성공>성공학,"어느 날 혜성처럼 나타나 자수성가의 아이콘이 된 청년, 자기계발 유튜버 자청이 깨달은 인생의 치트키를 탈탈 털어 넣은 그의 첫 책 《역행자》가 드디어 출간된다. 수많은 ‘자청 챌린저’들이 기다려온 책이자, 독자들의 인생을 송두리째 바꿔줄 문제작이다.",https://image.aladin.co.kr/product/29521/63/coversum/s572830936_1.jpg
287,이상한 과자 가게 전천당 15,"히로시마 레이코 (지은이), 쟈쟈 (그림), 김정화 (옮긴이)",길벗스쿨,9791164064410,2022-07-11,48877,국내도서>어린이>동화/명작/고전>외국창작동화,"잠시 가게를 닫고 길거리로 나선 베니코는 어김없이 행운의 손님들을 만나 과자를 판다. 그런데 잠깐, 베니코가 여러 명이다. 만족도 조사를 마친 로쿠조 연구소가 본격적인 행동에 나선 것이다. 로쿠조 연구소는 전천당과 베니코를 사칭해 가짜 과자를 팔기 시작하는데….",https://image.aladin.co.kr/product/29734/44/coversum/k662838597_1.jpg
288,매일을 헤엄치는 법 - 이연 그림 에세이,이연 (지은이),푸른숲,9791156759720,2022-07-20,51371,국내도서>에세이>한국에세이,"80여만 구독자에게 주체적인 삶의 태도와 자세를 전해온 독보적인 미술 크리에이터 이연의 그림 에세이 《매일을 헤엄치는 법》이 도서출판 푸른숲에서 출간되었다. 2018년, 제 삶을 되찾기 위해 퇴사를 감행한 스물일곱 살 이연의 자전적인 이야기로, 이연의 오리지널 캐릭터로 그려낸 첫 번째 책이다.",https://image.aladin.co.kr/product/29784/21/coversum/k212838504_2.jpg
289,불편한 편의점 (벚꽃 에디션),김호연 (지은이),나무옆의자,9791161571188,2021-04-20,50993,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,,https://image.aladin.co.kr/product/29045/74/coversum/k192836746_2.jpg
